,Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Time Coração,Ganhadores 7 acertos,Cidade / UF,Rateio 7 acertos,Ganhadores 6 acertos,Rateio 6 acertos,Ganhadores 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Ganhadores 3 acertos,Rateio 3 acertos,Ganhadores Time Coração,Rateio Time Coração,Acumulado 7 acertos,Arrecadação Total,Estimativa Prêmio,Observação
536,547,08/03/2014,20,21,33,45,62,71,75,MIXTO/MT,0,,"R$0,00",10,"R$24.475,80",352,"R$993,33",7445,"R$6,00",73053,"R$2,00",20307,"R$5,00","R$12.101.905,27","R$4.436.048,00","R$12.600.000,00",
537,548,11/03/2014,4,18,29,56,59,69,75,SÃO CAETANO/SP,0,,"R$0,00",11,"R$24.021,79",430,"R$877,87",8355,"R$6,00",81815,"R$2,00",20782,"R$5,00","R$12.762.504,54","R$4.793.688,00","R$13.300.000,00",SORTEIO REALIZADO EM ESTÚDIO DE TV
538,549,13/03/2014,1,21,22,35,42,66,75,NACIONAL/AM,0,,"R$0,00",12,"R$26.260,55",424,"R$1.061,74",8811,"R$6,00",91886,"R$2,00",22172,"R$5,00","R$14.202.447,84","R$5.648.700,00","R$15.000.000,00",
539,550,15/03/2014,26,42,45,46,59,63,80,VITÓRIA/BA,0,,"R$0,00",14,"R$22.230,14",625,"R$711,36",11113,"R$6,00",104093,"R$2,00",42463,"R$5,00","R$14.980.502,44","R$5.891.722,00","R$15.500.000,00",
540,551,18/03/2014,2,19,27,40,45,63,73,OLARIA/RJ,0,,"R$0,00",15,"R$22.313,38",609,"R$785,12",11233,"R$6,00",106061,"R$2,00",23517,"R$5,00","R$15.817.254,25","R$6.060.488,00","R$16.500.000,00",Sorteio realizado em Estúdio de TV.
541,552,20/03/2014,4,17,22,44,49,62,66,GAMA/DF,1,SÃO PAULO/SP,"R$16.666.082,79",31,"R$10.952,62",972,"R$499,01",15469,"R$6,00",122920,"R$2,00",34947,"R$5,00","R$0,00","R$6.388.290,00","R$100.000,00",
542,553,22/03/2014,23,29,31,33,65,74,79,INTER LIMEIRA/SP,0,,"R$0,00",2,"R$42.601,32",121,"R$1.005,93",2349,"R$6,00",24476,"R$2,00",6407,"R$5,00","R$213.006,57","R$1.529.720,00","R$350.000,00",
543,554,25/03/2014,28,49,53,66,67,74,79,ATLÉTICO/MG,1,RIACHO DA CRUZ/RN,"R$369.326,04",4,"R$15.631,95",188,"R$475,13",2703,"R$6,00",22378,"R$2,00",15598,"R$5,00","R$0,00","R$1.273.024,00","R$700.000,00",
544,555,27/03/2014,14,35,39,43,68,72,77,PAULISTA/SP,0,,"R$0,00",6,"R$13.270,29",161,"R$706,49",2628,"R$6,00",23840,"R$2,00",3746,"R$5,00","R$765.646,54","R$1.415.010,00","R$900.000,00",
545,556,29/03/2014,10,21,25,30,55,57,65,MARÍLIA/SP,0,,"R$0,00",2,"R$38.772,96",147,"R$753,60",2514,"R$6,00",24707,"R$2,00",6327,"R$5,00","R$959.511,34","R$1.413.114,00","R$1.100.000,00",
546,557,01/04/2014,8,22,37,40,60,65,72,SÃO RAIMUNDO/AM,0,,"R$0,00",2,"R$39.837,56",111,"R$1.025,41",1776,"R$6,00",19698,"R$2,00",4478,"R$5,00","R$1.158.699,15","R$1.394.674,00","R$1.300.000,00",
547,558,03/04/2014,27,31,45,65,67,68,72,PALMEIRAS/SP,0,,"R$0,00",4,"R$20.152,58",160,"R$719,73",3180,"R$6,00",29121,"R$2,00",27413,"R$5,00","R$1.360.225,00","R$1.717.772,00","R$1.500.000,00",
548,559,05/04/2014,9,10,13,19,32,51,60,FLUMINENSE/RJ,0,,"R$0,00",1,"R$76.588,21",251,"R$435,90",3986,"R$6,00",34490,"R$2,00",18168,"R$5,00","R$1.748.716,22","R$1.588.684,00","R$2.000.000,00",
549,560,08/04/2014,15,23,39,45,56,75,76,CEARÁ/CE,0,,"R$0,00",2,"R$40.937,07",173,"R$676,08",3417,"R$6,00",29981,"R$2,00",10252,"R$5,00","R$1.953.401,55","R$1.557.694,00","R$2.100.000,00",
550,561,10/04/2014,10,27,28,31,53,57,58,TUNA LUSO/PA,0,,"R$0,00",4,"R$26.357,38",171,"R$880,78",3672,"R$6,00",35452,"R$2,00",6687,"R$5,00","R$2.216.975,37","R$1.911.824,00","R$2.500.000,00",
551,562,12/04/2014,7,23,29,31,49,74,76,VILLA NOVA/MG,0,,"R$0,00",5,"R$19.434,59",242,"R$573,63",3351,"R$6,00",29737,"R$2,00",4042,"R$5,00","R$2.459.907,82","R$1.725.832,00","R$2.700.000,00",
552,563,15/04/2014,8,12,14,36,50,69,70,IPATINGA/MG,0,,"R$0,00",7,"R$12.948,47",141,"R$918,33",2578,"R$6,00",26571,"R$2,00",7350,"R$5,00","R$2.686.506,06","R$1.636.486,00","R$2.900.000,00",
553,564,17/04/2014,2,10,18,19,40,62,69,TUNA LUSO/PA,0,,"R$0,00",4,"R$24.975,73",186,"R$767,30",3329,"R$6,00",32132,"R$2,00",5840,"R$5,00","R$3.173.772,84","R$1.797.892,00","R$3.300.000,00",
554,565,19/04/2014,15,18,24,26,31,46,73,INTER LIMEIRA/SP,0,,"R$0,00",2,"R$31.415,44",90,"R$997,31",1835,"R$6,00",18860,"R$2,00",4575,"R$5,00","R$3.330.850,07","R$1.131.298,00","R$3.500.000,00",
555,566,22/04/2014,7,8,20,23,29,40,49,U BARBARENSE,0,,"R$0,00",5,"R$16.133,53",171,"R$673,91",3161,"R$6,00",25679,"R$2,00",3527,"R$5,00","R$3.532.519,12","R$1.443.818,00","R$3.700.000,00",
556,567,24/04/2014,1,5,25,39,40,57,77,JOINVILLE/SC,0,,"R$0,00",2,"R$57.746,85",213,"R$774,60",3781,"R$6,00",37165,"R$2,00",10738,"R$5,00","R$3.821.253,34","R$2.121.002,00","R$4.000.000,00",
557,568,26/04/2014,6,22,25,45,66,68,75,YPIRANGA/AP,0,,"R$0,00",7,"R$18.109,23",242,"R$748,31",4522,"R$6,00",42449,"R$2,00",7491,"R$5,00","R$4.138.164,87","R$2.293.362,00","R$4.400.000,00",
558,569,29/04/2014,1,13,47,52,64,66,74,AMÉRICA/RJ,0,,"R$0,00",3,"R$39.207,07",194,"R$866,13",3634,"R$6,00",36422,"R$2,00",9730,"R$5,00","R$4.683.907,01","R$2.137.934,00","R$4.900.000,00",
559,570,03/05/2014,8,21,36,61,63,69,80,NACIONAL/AM,0,,"R$0,00",1,"R$179.091,15",254,"R$1.007,26",5150,"R$6,00",51159,"R$2,00",11368,"R$5,00","R$5.131.634,88","R$3.194.088,00","R$5.400.000,00",
560,571,06/05/2014,7,10,18,37,43,53,54,JOINVILLE/SC,0,,"R$0,00",3,"R$52.561,13",238,"R$946,47",5412,"R$6,00",54451,"R$2,00",14763,"R$5,00","R$5.525.843,35","R$2.916.302,00","R$6.000.000,00",
561,572,08/05/2014,5,17,22,23,28,33,74,ITUANO/SP,0,,"R$0,00",10,"R$16.582,84",354,"R$669,20",6941,"R$6,00",62996,"R$2,00",18027,"R$5,00","R$5.940.414,15","R$3.135.350,00","R$6.300.000,00",
562,573,10/05/2014,2,12,25,37,42,49,76,BOTAFOGO/RJ,0,,"R$0,00",11,"R$13.983,04",352,"R$624,24",6054,"R$6,00",55983,"R$2,00",38249,"R$5,00","R$6.324.947,91","R$3.126.528,00","R$6.600.000,00",
563,574,13/05/2014,12,33,43,52,59,61,65,ITUANO/SP,0,,"R$0,00",2,"R$77.662,22",236,"R$940,22",4758,"R$6,00",46267,"R$2,00",15371,"R$5,00","R$7.119.129,43","R$2.842.168,00","R$7.400.000,00",SORTEIO REALIZADO EM ESTÚDIO DE TV.
564,575,15/05/2014,6,14,21,22,40,43,47,BARUERI/SP,0,,"R$0,00",9,"R$19.859,91",300,"R$851,13",6135,"R$6,00",55555,"R$2,00",13160,"R$5,00","R$7.565.977,42","R$3.240.062,00","R$8.000.000,00",
565,576,17/05/2014,13,14,20,43,68,69,71,CORINTHIANS/SP,0,,"R$0,00",6,"R$22.627,40",284,"R$682,91",5246,"R$6,00",52952,"R$2,00",68967,"R$5,00","R$7.905.388,36","R$3.156.436,00","R$8.200.000,00",
566,577,20/05/2014,10,21,54,61,62,72,80,RORAIMA/RR,0,,"R$0,00",5,"R$37.960,61",321,"R$844,69",5497,"R$6,00",53903,"R$2,00",11165,"R$5,00","R$8.379.896,00","R$3.374.672,00","R$8.700.000,00",
567,578,22/05/2014,5,6,12,23,33,36,63,BAHIA/BA,0,,"R$0,00",11,"R$16.137,48",447,"R$567,31",8458,"R$6,00",75105,"R$2,00",36804,"R$5,00","R$8.823.676,61","R$3.593.310,00","R$9.200.000,00",
568,579,24/05/2014,3,7,26,30,42,54,69,GAMA/DF,0,,"R$0,00",4,"R$51.420,35",390,"R$753,41",6956,"R$6,00",65530,"R$2,00",19847,"R$5,00","R$9.781.630,21","R$3.785.182,00","R$10.000.000,00",
569,580,27/05/2014,2,4,8,39,42,60,66,REMO/PA,0,,"R$0,00",7,"R$30.916,61",447,"R$691,64",8224,"R$6,00",75108,"R$2,00",20749,"R$5,00","R$10.322.670,92","R$4.019.860,00","R$10.700.000,00",
570,581,29/05/2014,5,24,25,56,57,58,64,PAYSANDU/PA,0,,"R$0,00",7,"R$34.837,03",513,"R$679,08",9002,"R$6,00",83203,"R$2,00",20294,"R$5,00","R$10.932.318,91","R$4.486.390,00","R$11.500.000,00",
571,582,31/05/2014,21,28,50,57,58,70,77,SANTO ANDRÉ/SP,0,,"R$0,00",7,"R$37.721,96",328,"R$1.150,05",6885,"R$6,00",70761,"R$2,00",19612,"R$5,00","R$11.592.453,24","R$4.710.848,00","R$12.000.000,00",
572,583,03/06/2014,11,18,29,32,35,48,49,RIO BRANCO/AC,0,,"R$0,00",8,"R$31.427,57",491,"R$731,51",9087,"R$6,00",82385,"R$2,00",16004,"R$5,00","R$12.221.004,60","R$4.554.724,00","R$12.700.000,00",Sorteio realizado em Estúdio de TV.
573,584,05/06/2014,4,5,23,31,54,71,75,PALMEIRAS/SP,0,,"R$0,00",9,"R$25.284,48",471,"R$690,20",9366,"R$6,00",89371,"R$2,00",67866,"R$5,00","R$13.391.560,47","R$4.781.954,00","R$14.000.000,00",
574,585,07/06/2014,28,36,50,54,56,57,70,SÃO PAULO/SP,1,Curitiba/PR,"R$13.909.339,59",9,"R$23.012,41",526,"R$562,49",8547,"R$6,00",74066,"R$2,00",82356,"R$5,00","R$0,00","R$4.544.702,00","R$100.000,00",
575,586,10/06/2014,11,33,51,52,54,78,80,MIXTO/MT,0,,"R$0,00",1,"R$72.055,75",99,"R$1.039,76",2233,"R$6,00",22322,"R$2,00",5561,"R$5,00","R$180.139,38","R$1.305.502,00","R$400.000,00",
576,587,12/06/2014,19,21,26,30,50,61,80,DESPORTIVA/ES,0,,"R$0,00",6,"R$11.583,38",99,"R$1.002,88",2045,"R$6,00",19602,"R$2,00",3355,"R$5,00","R$353.890,03","R$1.227.564,00","R$500.000,00",
577,588,14/06/2014,34,36,39,52,63,73,80,MOTO CLUBE/MA,0,,"R$0,00",4,"R$19.309,71",104,"R$1.060,97",2199,"R$6,00",22669,"R$2,00",6035,"R$5,00","R$546.987,10","R$1.392.202,00","R$700.000,00",
578,589,17/06/2014,3,32,35,43,50,69,75,CEARÁ/CE,0,,"R$0,00",2,"R$30.085,05",94,"R$914,43",1785,"R$6,00",17933,"R$2,00",6851,"R$5,00","R$940.450,70","R$1.110.038,00","R$1.100.000,00",
579,590,21/06/2014,16,20,21,22,76,77,78,JUVENTUDE/RS,0,,"R$0,00",5,"R$20.449,15",120,"R$1.217,21",2490,"R$6,00",27343,"R$2,00",8710,"R$5,00","R$1.196.065,13","R$1.833.702,00","R$1.400.000,00",
580,591,24/06/2014,11,19,21,23,38,48,66,INTER LIMEIRA/SP,0,,"R$0,00",0,"R$0,00",126,"R$717,67",2236,"R$6,00",21459,"R$2,00",4949,"R$5,00","R$1.417.612,88","R$1.159.168,00","R$1.600.000,00",
581,592,26/06/2014,7,30,34,42,55,67,76,OLARIA/RJ,0,,"R$0,00",2,"R$45.519,73",145,"R$896,94",2770,"R$6,00",26260,"R$2,00",5531,"R$5,00","R$1.645.211,51","R$1.624.080,00","R$1.900.000,00",
582,593,28/06/2014,1,25,34,52,58,64,69,NACIONAL/AM,0,,"R$0,00",1,"R$77.758,23",116,"R$957,61",2197,"R$6,00",21722,"R$2,00",4446,"R$5,00","R$1.839.607,08","R$1.378.852,00","R$2.000.000,00",
583,594,01/07/2014,1,10,23,45,46,68,74,PAYSANDU/PA,0,,"R$0,00",9,"R$10.107,81",220,"R$590,71",3619,"R$6,00",31620,"R$2,00",6702,"R$5,00","R$2.279.689,27","R$1.670.112,00","R$2.500.000,00",
584,595,03/07/2014,1,3,10,41,51,52,54,SAMPAIO CORRÊA/MA,0,,"R$0,00",6,"R$16.903,71",179,"R$809,43",3643,"R$6,00",34991,"R$2,00",8117,"R$5,00","R$2.533.244,88","R$1.862.760,00","R$2.700.000,00",
585,596,05/07/2014,14,19,20,28,55,76,79,SANTO ANDRÉ/SP,0,,"R$0,00",8,"R$11.971,05",166,"R$824,16",3443,"R$6,00",32631,"R$2,00",6843,"R$5,00","R$2.772.665,88","R$1.748.250,00","R$2.900.000,00",
586,597,08/07/2014,13,32,39,40,46,54,65,INTER LIMEIRA/SP,0,,"R$0,00",3,"R$30.287,25",164,"R$791,47",2857,"R$6,00",28004,"R$2,00",7035,"R$5,00","R$2.999.820,28","R$1.646.386,00","R$3.200.000,00",
587,598,10/07/2014,1,2,12,20,29,46,71,MOTO CLUBE/MA,0,,"R$0,00",7,"R$16.267,68",224,"R$726,23",4183,"R$6,00",39184,"R$2,00",9476,"R$5,00","R$3.284.504,65","R$2.096.152,00","R$3.600.000,00",
588,599,12/07/2014,2,13,25,39,47,50,68,BOTAFOGO/RJ,0,,"R$0,00",9,"R$10.830,40",184,"R$756,78",3621,"R$6,00",35307,"R$2,00",24040,"R$5,00","R$3.777.888,41","R$1.975.608,00","R$4.000.000,00",
589,600,15/07/2014,13,19,27,29,42,44,57,YPIRANGA/AP,0,,"R$0,00",12,"R$8.895,15",288,"R$529,47",4886,"R$6,00",42593,"R$2,00",6417,"R$5,00","R$4.044.742,78","R$1.976.148,00","R$4.200.000,00",
590,601,17/07/2014,15,18,55,56,62,67,77,CRB/AL,0,,"R$0,00",0,"R$0,00",176,"R$990,90",3612,"R$6,00",36472,"R$2,00",7690,"R$5,00","R$4.472.022,76","R$2.184.926,00","R$4.700.000,00",
591,602,19/07/2014,4,14,16,25,60,69,74,FLUMINENSE/RJ,0,,"R$0,00",4,"R$31.459,70",183,"R$982,34",3931,"R$6,00",41000,"R$2,00",26727,"R$5,00","R$4.786.619,72","R$2.474.064,00","R$5.000.000,00",
592,603,22/07/2014,3,37,46,57,59,63,78,SÃO CAETANO/SP,0,,"R$0,00",7,"R$19.803,69",241,"R$821,72",4250,"R$6,00",42064,"R$2,00",10846,"R$5,00","R$5.133.184,28","R$2.508.788,00","R$5.400.000,00",
593,604,24/07/2014,2,29,35,52,58,68,74,XV PIRACICABA/SP,0,,"R$0,00",6,"R$25.638,80",247,"R$889,72",4603,"R$6,00",43920,"R$2,00",8607,"R$5,00","R$5.841.325,89","R$2.733.258,00","R$6.200.000,00",
594,605,26/07/2014,33,42,49,62,71,72,78,ATHLÉTICO/PR,0,,"R$0,00",5,"R$27.054,77",184,"R$1.050,26",3687,"R$6,00",38688,"R$2,00",15829,"R$5,00","R$6.179.510,52","R$2.488.880,00","R$6.500.000,00",
595,606,29/07/2014,16,39,43,47,66,69,70,SERGIPE/SE,0,,"R$0,00",5,"R$30.436,73",267,"R$814,25",4762,"R$6,00",45251,"R$2,00",10483,"R$5,00","R$6.559.969,59","R$2.735.902,00","R$6.700.000,00",
596,607,31/07/2014,6,14,20,24,33,40,57,PARANÁ/PR,0,,"R$0,00",9,"R$18.462,40",287,"R$827,08",5726,"R$6,00",55578,"R$2,00",12902,"R$5,00","R$6.975.373,49","R$3.036.718,00","R$7.500.000,00",
597,608,02/08/2014,25,40,53,71,72,74,75,CRB/AL,0,,"R$0,00",3,"R$68.124,38",314,"R$929,81",6125,"R$6,00",56315,"R$2,00",13192,"R$5,00","R$7.486.306,27","R$3.641.626,00","R$7.800.000,00",
598,609,05/08/2014,2,4,5,12,31,60,73,PARANÁ/PR,0,,"R$0,00",6,"R$32.024,68",328,"R$836,88",7178,"R$6,00",66854,"R$2,00",13263,"R$5,00","R$8.391.746,51","R$3.512.124,00","R$8.800.000,00",
599,610,07/08/2014,18,34,37,53,64,67,71,SERGIPE/SE,0,,"R$0,00",12,"R$17.155,95",327,"R$899,39",6235,"R$6,00",58618,"R$2,00",13673,"R$5,00","R$8.906.425,11","R$3.681.568,00","R$9.300.000,00",
600,611,09/08/2014,13,29,38,39,44,60,77,YPIRANGA/AP,0,,"R$0,00",9,"R$22.115,64",355,"R$800,96",6661,"R$6,00",62858,"R$2,00",11908,"R$5,00","R$9.404.027,00","R$3.580.308,00","R$9.800.000,00",
601,612,12/08/2014,7,10,28,29,60,70,71,PARANÁ/PR,0,,"R$0,00",15,"R$12.735,93",285,"R$957,58",6825,"R$6,00",61127,"R$2,00",13385,"R$5,00","R$9.881.624,41","R$3.466.724,00","R$10.300.000,00",
602,613,14/08/2014,1,5,18,29,51,54,68,BANGU/RJ,0,,"R$0,00",6,"R$34.021,52",334,"R$873,09",6426,"R$6,00",65039,"R$2,00",18434,"R$5,00","R$10.391.947,21","R$3.736.672,00","R$10.800.000,00",
603,614,16/08/2014,2,34,40,51,53,56,67,RIO BRANCO/AC,0,,"R$0,00",5,"R$39.478,95",290,"R$972,38",5449,"R$6,00",54778,"R$2,00",11404,"R$5,00","R$11.384.171,73","R$3.498.332,00","R$12.000.000,00",
604,615,19/08/2014,20,35,43,50,67,77,78,JI-PARANÁ / RO,0,,"R$0,00",14,"R$16.094,43",286,"R$1.125,48",6135,"R$6,00",62961,"R$2,00",18460,"R$5,00","R$11.947.476,69","R$4.053.206,00","R$12.500.000,00",SORTEIO REALIZADO EM ESTÚDIO DE TV.
605,616,21/08/2014,10,15,25,51,52,53,62,PALMAS/TO,0,,"R$0,00",16,"R$15.431,16",446,"R$790,83",7917,"R$6,00",76416,"R$2,00",18307,"R$5,00","R$12.564.723,03","R$4.468.326,00","R$13.000.000,00",
606,619,28/08/2014,6,15,30,34,42,66,70,DESPORTIVA/ES,0,,"R$0,00",4,"R$60.317,02",364,"R$946,89",6737,"R$6,00",66486,"R$2,00",13045,"R$5,00","R$14.857.847,30","R$4.265.136,00","R$15.500.000,00",
607,620,30/08/2014,7,30,35,47,71,72,77,PALMAS/TO,0,,"R$0,00",11,"R$21.555,56",402,"R$842,61",7685,"R$6,00",74129,"R$2,00",15928,"R$5,00","R$15.450.625,22","R$4.277.520,00","R$15.900.000,00",
608,621,02/09/2014,15,29,44,48,57,63,72,RORAIMA/RR,0,,"R$0,00",9,"R$28.321,00",522,"R$697,56",8889,"R$6,00",80387,"R$2,00",15706,"R$5,00","R$16.087.847,84","R$4.594.074,00","R$16.600.000,00",
609,622,04/09/2014,6,27,50,51,52,55,66,CORINTHIANS/SP,0,,"R$0,00",10,"R$21.750,15",435,"R$714,29",8983,"R$6,00",82962,"R$2,00",99828,"R$5,00","R$16.631.601,37","R$4.940.312,00","R$17.200.000,00",
610,623,06/09/2014,42,62,68,74,76,77,78,TUNA LUSO/PA,0,,"R$0,00",11,"R$24.393,21",483,"R$793,62",8585,"R$6,00",72743,"R$2,00",17251,"R$5,00","R$17.302.414,46","R$4.782.304,00","R$17.800.000,00",
611,624,09/09/2014,3,27,35,45,60,73,76,GRÊMIO/RS,0,,"R$0,00",14,"R$20.190,10",495,"R$815,76",9813,"R$6,00",97396,"R$2,00",80513,"R$5,00","R$18.639.312,12","R$5.815.750,00","R$19.300.000,00",
612,625,11/09/2014,3,32,43,50,56,67,73,MIXTO/MT,0,,"R$0,00",3,"R$113.071,14",520,"R$931,90",10110,"R$6,00",99067,"R$2,00",29094,"R$5,00","R$19.487.345,69","R$6.146.124,00","R$20.000.000,00",
613,626,13/09/2014,7,12,14,29,44,50,56,PALMAS/TO,0,,"R$0,00",18,"R$19.139,41",712,"R$691,23",13240,"R$6,00",120417,"R$2,00",25821,"R$5,00","R$20.348.619,23","R$6.326.436,00","R$21.000.000,00",
614,627,16/09/2014,4,32,43,50,66,74,75,BRAGANTINO/SP,0,,"R$0,00",15,"R$23.288,58",570,"R$875,51",10262,"R$6,00",102975,"R$2,00",27336,"R$5,00","R$21.221.940,87","R$6.303.058,00","R$22.000.000,00",
615,628,18/09/2014,9,16,39,43,58,67,69,AVAÍ/SC,1,SÃO GONÇALO DOS CAMPOS/BA,"R$22.077.129,12",14,"R$24.433,95",597,"R$818,55",11369,"R$6,00",106984,"R$2,00",41426,"R$5,00","R$0,00","R$6.375.450,00","R$150.000,00",
616,629,20/09/2014,31,40,52,55,57,67,70,BOTAFOGO/RJ,0,,"R$0,00",2,"R$40.917,31",102,"R$1.146,14",2027,"R$6,00",22482,"R$2,00",19098,"R$5,00","R$933.067,33","R$1.602.498,00","R$1.100.000,00",
617,630,23/09/2014,12,15,26,35,49,50,62,JUVENTUS/SP,0,,"R$0,00",1,"R$94.980,42",142,"R$955,53",2867,"R$6,00",28747,"R$2,00",7098,"R$5,00","R$1.170.518,37","R$1.714.386,00","R$1.300.000,00",
618,631,25/09/2014,14,19,21,34,35,60,65,XV PIRACICABA/SP,0,,"R$0,00",1,"R$106.835,99",152,"R$1.004,09",3019,"R$6,00",31609,"R$2,00",5179,"R$5,00","R$1.437.608,33","R$1.892.046,00","R$1.700.000,00",
619,632,27/09/2014,14,17,18,35,38,39,40,BANGU/RJ,0,,"R$0,00",12,"R$8.061,96",185,"R$747,05",3082,"R$6,00",29011,"R$2,00",7971,"R$5,00","R$1.679.467,02","R$1.755.204,00","R$2.000.000,00",
620,633,30/09/2014,1,17,30,37,43,69,77,IPATINGA/MG,0,,"R$0,00",4,"R$26.069,25",152,"R$980,04",2994,"R$6,00",30578,"R$2,00",9101,"R$5,00","R$1.940.159,53","R$1.890.132,00","R$2.100.000,00",
621,634,02/10/2014,14,22,26,30,38,69,71,SANTA CRUZ/PE,0,,"R$0,00",4,"R$31.144,26",174,"R$1.022,79",3650,"R$6,00",35817,"R$2,00",14570,"R$5,00","R$2.515.309,02","R$2.296.130,00","R$2.800.000,00",
622,635,04/10/2014,7,13,36,55,68,71,72,AMÉRICA/RN,0,,"R$0,00",5,"R$24.510,66",279,"R$627,51",4577,"R$6,00",42811,"R$2,00",9448,"R$5,00","R$2.821.692,28","R$2.251.532,00","R$3.100.000,00",
623,636,07/10/2014,12,16,21,48,55,73,75,SANTOS/SP,0,,"R$0,00",4,"R$26.363,00",194,"R$776,52",3996,"R$6,00",39133,"R$2,00",39401,"R$5,00","R$3.085.322,22","R$2.287.990,00","R$3.300.000,00",
624,637,09/10/2014,13,19,21,26,43,72,76,OPERARIO/MS,0,,"R$0,00",3,"R$46.463,40",289,"R$689,02",5053,"R$6,00",47210,"R$2,00",8522,"R$5,00","R$3.433.797,70","R$2.528.244,00","R$3.700.000,00",
625,638,11/10/2014,3,4,14,17,23,29,69,VILLA NOVA/MG,0,,"R$0,00",5,"R$25.622,64",279,"R$655,98",5236,"R$6,00",47810,"R$2,00",5623,"R$5,00","R$3.754.080,67","R$2.326.620,00","R$4.000.000,00",
626,639,14/10/2014,15,19,20,37,44,69,74,JI-PARANÁ / RO,1,GENERAL CARNEIRO/MT,"R$4.083.943,27",6,"R$21.990,84",240,"R$785,38",4479,"R$6,00",42516,"R$2,00",9920,"R$5,00","R$0,00","R$2.399.936,00","R$500.000,00",
627,640,16/10/2014,3,11,26,31,37,52,66,VITÓRIA/BA,0,,"R$0,00",0,"R$0,00",132,"R$907,70",2586,"R$6,00",25571,"R$2,00",11691,"R$5,00","R$607.278,63","R$1.574.344,00","R$800.000,00",
628,641,18/10/2014,8,15,21,33,38,51,80,U BARBARENSE,0,,"R$0,00",4,"R$21.220,69",202,"R$600,30",3169,"R$6,00",28033,"R$2,00",3401,"R$5,00","R$819.485,52","R$1.518.240,00","R$1.000.000,00",
629,642,21/10/2014,7,8,23,30,41,61,64,BOTAFOGO/RJ,0,,"R$0,00",1,"R$77.016,74",101,"R$1.089,34",2147,"R$6,00",22995,"R$2,00",18229,"R$5,00","R$1.012.027,37","R$1.522.036,00","R$1.200.000,00",
630,643,23/10/2014,2,20,38,43,64,66,70,IPATINGA/MG,0,,"R$0,00",7,"R$13.412,24",139,"R$964,90",2458,"R$6,00",25341,"R$2,00",7487,"R$5,00","R$1.246.741,61","R$1.681.472,00","R$1.500.000,00",
631,644,25/10/2014,7,14,26,35,42,61,72,SANTOS/SP,0,,"R$0,00",9,"R$8.162,30",160,"R$655,89",3132,"R$6,00",27253,"R$2,00",27684,"R$5,00","R$1.636.952,17","R$1.600.950,00","R$1.800.000,00",
632,645,28/10/2014,2,8,14,21,24,32,40,PALMEIRAS/SP,0,,"R$0,00",3,"R$26.970,00",167,"R$692,13",3234,"R$6,00",30305,"R$2,00",26917,"R$5,00","R$1.839.227,17","R$1.722.886,00","R$2.000.000,00",
633,646,30/10/2014,5,25,39,50,55,63,78,CRICIÚMA/SC,0,,"R$0,00",4,"R$27.226,09",227,"R$685,36",3880,"R$6,00",35030,"R$2,00",7488,"R$5,00","R$2.111.488,10","R$1.975.366,00","R$2.200.000,00",
634,648,04/11/2014,6,46,56,58,69,71,77,SPORT/PE,0,,"R$0,00",1,"R$104.040,30",147,"R$1.011,08",3169,"R$6,00",32269,"R$2,00",10790,"R$5,00","R$2.645.464,57","R$1.914.450,00","R$2.900.000,00",
635,649,06/11/2014,2,29,35,39,47,57,77,GOIÁS/GO,0,,"R$0,00",6,"R$15.557,41",167,"R$798,49",3133,"R$6,00",31901,"R$2,00",15677,"R$5,00","R$3.127.200,54","R$1.799.416,00","R$3.400.000,00",
636,650,08/11/2014,14,20,23,40,62,75,80,VILA NOVA/MG,0,,"R$0,00",5,"R$23.877,81",194,"R$879,15",3302,"R$6,00",34840,"R$2,00",4698,"R$5,00","R$3.425.673,12","R$2.099.480,00","R$3.700.000,00",
637,651,11/11/2014,4,41,49,57,58,62,75,MARÍLIA/SP,0,,"R$0,00",2,"R$56.039,04",166,"R$964,52",3291,"R$6,00",32515,"R$2,00",9749,"R$5,00","R$3.705.868,34","R$2.030.606,00","R$4.000.000,00",
638,652,13/11/2014,2,9,24,25,30,49,65,GRÊMIO/RS,0,,"R$0,00",5,"R$20.532,04",222,"R$660,61",4050,"R$6,00",38140,"R$2,00",33851,"R$5,00","R$3.962.518,79","R$2.180.700,00","R$4.200.000,00",
639,653,18/11/2014,5,21,26,28,34,55,58,ATHLÉTICO/PR,0,,"R$0,00",8,"R$18.095,14",332,"R$622,89",5750,"R$6,00",53028,"R$2,00",27995,"R$5,00","R$4.324.421,67","R$2.857.694,00","R$4.700.000,00",
640,654,20/11/2014,12,13,14,41,48,60,69,FLAMENGO/RJ,0,,"R$0,00",2,"R$37.512,01",141,"R$760,12",3241,"R$6,00",33466,"R$2,00",49476,"R$5,00","R$4.788.937,95","R$1.890.530,00","R$5.000.000,00",
641,655,22/11/2014,23,40,48,53,62,65,78,SÃO PAULO/SP,0,,"R$0,00",13,"R$7.280,46",174,"R$777,06",3249,"R$6,00",31372,"R$2,00",38890,"R$5,00","R$5.025.552,94","R$2.071.154,00","R$5.200.000,00",
