,Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Time Coração,Ganhadores 7 acertos,Cidade / UF,Rateio 7 acertos,Ganhadores 6 acertos,Rateio 6 acertos,Ganhadores 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Ganhadores 3 acertos,Rateio 3 acertos,Ganhadores Time Coração,Rateio Time Coração,Acumulado 7 acertos,Arrecadação Total,Estimativa Prêmio,Observação
1170,1184,24/05/2018,2,13,28,31,51,65,72,AMERICANO/RJ,0,,"R$0,00",5,"R$21.687,79",180,"R$860,62",3495,"R$6,00",34801,"R$2,00",7597,"R$5,00","R$4.863.371,29","R$1.963.306,00","R$5.100.000,00",
1171,1185,26/05/2018,13,21,30,51,52,58,66,BARUERI/SP,0,,"R$0,00",2,"R$55.629,82",189,"R$840,96",3190,"R$6,00",32479,"R$2,00",6675,"R$5,00","R$5.141.520,35","R$1.983.010,00","R$5.300.000,00",
1172,1186,29/05/2018,10,52,64,71,77,79,80,INTERNACIONAL/RS,0,,"R$0,00",5,"R$18.616,95",296,"R$449,25",4938,"R$6,00",37036,"R$2,00",24445,"R$5,00","R$5.374.232,11","R$1.936.556,00","R$5.600.000,00",
1173,1187,02/06/2018,5,39,41,50,52,66,71,OPERARIO/MS,0,,"R$0,00",2,"R$76.016,33",222,"R$978,33",4430,"R$6,00",42931,"R$2,00",8684,"R$5,00","R$5.754.313,76","R$2.699.586,00","R$6.000.000,00",
1174,1188,05/06/2018,25,41,53,61,67,76,78,SÃO CAETANO/SP,0,,"R$0,00",5,"R$26.204,02",193,"R$969,80",3442,"R$6,00",34864,"R$2,00",9161,"R$5,00","R$6.081.864,02","R$2.330.528,00","R$6.300.000,00",
1175,1189,07/06/2018,19,26,35,37,51,60,69,BRAGANTINO/SP,0,,"R$0,00",3,"R$43.426,89",196,"R$949,56",3773,"R$6,00",39209,"R$2,00",9013,"R$5,00","R$6.716.404,57","R$2.340.646,00","R$7.000.000,00",
1176,1190,09/06/2018,24,25,28,40,49,69,72,NACIONAL/AM,0,,"R$0,00",4,"R$33.780,51",179,"R$1.078,38",3859,"R$6,00",39691,"R$2,00",7971,"R$5,00","R$7.054.209,67","R$2.407.714,00","R$7.300.000,00",
1177,1191,12/06/2018,14,15,40,59,63,69,74,VILLA NOVA/MG,0,,"R$0,00",2,"R$66.621,36",148,"R$1.286,12",3196,"R$6,00",34736,"R$2,00",6160,"R$5,00","R$7.387.316,49","R$2.328.656,00","R$7.600.000,00",
1178,1192,14/06/2018,31,32,38,51,52,61,74,BRASILIENSE/DF,0,,"R$0,00",5,"R$25.541,62",139,"R$1.312,51",2982,"R$6,00",31460,"R$2,00",8589,"R$5,00","R$7.706.586,74","R$2.252.082,00","R$8.000.000,00",
1179,1193,16/06/2018,23,27,52,54,57,66,71,VASCO DA GAMA/RJ,0,,"R$0,00",7,"R$16.429,44",244,"R$673,33",4724,"R$6,00",43414,"R$2,00",31066,"R$5,00","R$7.994.101,85","R$2.373.856,00","R$8.250.000,00",
