,Concurso,Jogo 1,Jogo 2,Jogo 3,Jogo 4,Jogo 5,Jogo 6,Jogo 7,Jogo 8,Jogo 9,Jogo 10,Jogo 11,Jogo 12,Jogo 13,Jogo 14,Ganhadores 14 Acertos,Cidade / UF, Rateio 14 Acertos,Ganhadores 13 Acertos,Rateio 13 Acertos,Acumulado 14 Acertos,Arrecadacao Total,Estimativa Prêmio,Observação
466,467,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna do meio,1,SALVADOR/BA,"R$620.223,94",15,"R$5.198,81",Não,"R$1.940.267,50","R$260.000,00",
467,468,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,3,"BRASÍLIA/DF; 
CAJAZEIRAS/PB; 
SÃO PAULO/SP","R$75.364,37",110,"R$629,20",Não,"R$1.205.445,50","R$250.000,00",
468,469,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,1,SÃO PAULO/SP,"R$316.387,40",41,"R$1.653,59",Não,"R$1.686.861,50","R$600.000,00",
469,470,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,3,"GOIÂNIA/GO; 
CAMPO GRANDE/MS; 
INDAIAL/SC","R$191.809,15",55,"R$1.426,90",Não,"R$1.366.859,00","R$260.000,00",
470,471,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,26,"BA; 
CE; 
DF; 
ES; 
MA; 
MG; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RS; 
SC; 
SP","R$9.961,92",787,"R$100,74",Não,"R$1.380.946,00","R$260.000,00",
471,472,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,0,,"R$0,00",0,"R$0,00",Sim,"R$1.354.939,50","R$650.000,00",
472,473,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,1,CAMPO GRANDE/MS,"R$669.368,56",31,"R$2.493,87",Não,"R$1.923.544,00","R$250.000,00",
473,474,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,0,,"R$0,00",4,"R$15.017,10",Sim,"R$1.494.559,50","R$1.000.000,00",
474,475,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,7,"SALVADOR/BA; 
FORTALEZA/CE; 
INDIARA/GO; 
SÃO CRISTOVÃO/SE; 
RIBEIRÃO PIRES/SP; 
SÃO PAULO/SP; 
ARAGUAÍNA/TO","R$152.657,03",279,"R$533,25",Não,"R$2.591.209,00","R$300.000,00",
475,476,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,0,,"R$0,00",2,"R$29.810,46",Sim,"R$1.483.425,50","R$700.000,00",
476,477,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,0,,"R$0,00",11,"R$6.120,51",Sim,"R$1.675.125,00","R$950.000,00",
477,478,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,0,,"R$0,00",29,"R$3.538,62",Sim,"R$2.553.277,50","R$1.700.000,00",
478,479,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,2,"CAMPESTRE DO MARANHÃO/MA; 
BELO HORIZONTE/MG","R$802.094,44",45,"R$2.537,53",Não,"R$2.841.118,50","R$700.000,00",
479,480,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,1,NATAL/RN,"R$812.912,01",35,"R$2.234,78",Não,"R$1.946.115,00","R$300.000,00",
480,481,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 1,1,MARINGÁ/PR,"R$340.843,97",170,"R$613,76",Não,"R$1.817.255,00","R$240.000,00",
481,482,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,0,,"R$0,00",3,"R$22.837,57",Sim,"R$1.704.661,50","R$500.000,00",
482,483,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,2,"SÃO JOSÉ DOS PINHAIS/PR; 
NATAL/RN","R$340.425,34",51,"R$1.517,33",Não,"R$1.925.384,50","R$250.000,00",
483,484,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,5,"BRASÍLIA/DF; 
CASTELO/ES; 
ARIPUANA/MT; 
PORTO ALEGRE/RS; 
SÃO PAULO/SP","R$58.562,12",177,"R$506,41",Não,"R$1.561.158,50","R$600.000,00",
484,485,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,0,,"R$0,00",9,"R$8.755,14",Sim,"R$1.960.526,00","R$1.200.000,00",
485,486,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,42,"BA; 
DF; 
GO; 
MA; 
MG; 
MT; 
PB; 
PR; 
RJ; 
RN; 
RS; 
SC; 
SE; 
SP","R$29.598,79",1055,"R$149,58",Não,"R$2.748.652,00","R$300.000,00",
486,487,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,0,,"R$0,00",4,"R$16.908,95",Sim,"R$1.682.843,50","R$700.000,00",
487,488,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,3,"CAMPINAS/SP; 
SÃO PAULO/SP","R$256.546,45",100,"R$1.389,81",Não,"R$2.420.591,00","R$300.000,00",
488,489,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,1,FORTALEZA/CE,"R$359.057,26",61,"R$1.261,33",Não,"R$1.914.361,50","R$700.000,00",
489,490,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,2,"RIO DE JANEIRO/RJ; 
SÃO  PAULO/SP","R$422.803,29",90,"R$1.409,77",Não,"R$2.209.826,50","R$300.000,00",
490,491,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,25,"CAPELA DO ALTO ALEGRE/BA; 
BRASÍLIA/DF; 
BURITICUPU/MA; 
SÃO LUÍS/MA; 
JUIZ DE FORA/MG; 
CAMPO GRANDE/MS; 
TANGARÁ DA SERRA/MT; 
CAMPINA GRANDE/PB; 
RIO DE JANEIRO/RJ; 
SÃO GONÇALO/RJ; 
AGUDO/RS; 
PORTO ALEGRE/RS; 
CRICIÚMA/SC; 
PRESIDENTE GETÚLIO/SC; 
ARACAJÚ/SE; 
SÃO DOMINGOS/SE; 
ARARAS/SP; 
PARAGUAÇU PAULISTA/SP; 
RIO CLARO/SP; 
SANTO ANDRÉ/SP; 
SOROCABA/SP; 
SÃO PAULO/SP","R$13.210,15",588,"R$171,93",Não,"R$1.760.791,00","R$200.000,00","DEVIDO AO RECESSO DE FIM DE ANO DOS CLUBES DE FUTEBOL, AS APOSTAS DO CONCURSO 492 INICIAM NO PRÓXIMO DIA 02/01/2012."
491,492,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,0,,"R$0,00",83,"R$441,38",Sim,"R$638.059,00","R$320.000,00",
492,493,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,0,,"R$0,00",4,"R$8.425,74",Sim,"R$838.562,00","R$450.000,00",
493,494,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 2,12,"SALVADOR/BA; 
VILHA VELHA/ES; 
DOM PEDRO/MA; 
BELO HORIZONTE/MG; 
PASSOS/MG; 
TIMÓTEO/MG; 
COLORADO/PR; 
GUARULHOS/SP; 
MOGI DAS CRUZES/SP; 
SÃO BERNARDO DO CAMPO/SP; 
SÃO PAULO/SP","R$44.827,45",483,"R$165,40",Não,"R$1.391.421,50","R$600.000,00",
494,495,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,15,"FEIRA DE SANTANA/BA; 
BELO HORIZONTE/MG; 
JOÃO PINHEIRO/MG; 
PASSOS/MG; 
ALTAMIRA/PA; 
BELÉM/PA; 
JOÃO PESSOA/PB; 
RIO DE JANEIRO/RJ; 
SÃO GONÇALO/RJ; 
ERECHIM/RS; 
PORTO ALEGRE/RS; 
CRICIÚMA/SC; 
FRANCO DA ROCHA/SP; 
SÃO PAULO/SP","R$36.865,46",495,"R$172,00",Não,"R$1.482.869,00","R$200.000,00",
495,496,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,0,,"R$0,00",1,"R$47.474,68",Sim,"R$1.181.215,50","R$560.000,00",
496,497,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,9,"VITÓRIA/ES; 
SÃO RAIMUNDO NONATO/PI; 
CRICIÚMA/SC; 
AMERICANA/SP; 
JUNDIAÍ/SP; 
SOROCABA/SP; 
SÃO PAULO/SP; 
PALMAS/TO","R$54.158,89",296,"R$274,97",Não,"R$1.417.582,50","R$240.000,00",
497,498,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,11,"ALAGOINHAS/BA; 
BRASÍLIA/DF; 
GOIANDIRA/GO; 
ARAGUARI/MG; 
CAMPO GRANDE/MS; 
BELÉM/PA; 
NOVO PROGRESSO/PA; 
JOÃO PESSOA/PB; 
NOVA IGUAÇU/RJ; 
SÃO PAULO/SP","R$22.356,24",443,"R$169,93",Não,"R$1.311.148,00","R$300.000,00",
498,499,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,0,,"R$0,00",6,"R$7.500,92",Sim,"R$1.119.780,50","R$700.000,00",
499,500,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna 2,93,"AM; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
PB; 
PE; 
PR; 
RJ; 
RN; 
RS; 
SC; 
SP; 
TO","R$9.644,55",2969,"R$43,83",Não,"R$2.266.832,50","R$300.000,00",
500,501,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,1,GOIÂNIA/GO,"R$362.108,75",67,"R$1.158,13",Não,"R$1.930.631,00","R$260.000,00",
501,502,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,16,"AL; 
MG; 
PR; 
RJ; 
SP","R$16.987,29",498,"R$167,07",Não,"R$1.449.120,00","R$300.000,00",
502,503,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,55,"AM; 
BA; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
PE; 
PR; 
RJ; 
RS; 
SC; 
SE; 
SP","R$5.243,19",1346,"R$65,58",Não,"R$1.537.510,50","R$300.000,00",
503,504,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,0,,"R$0,00",32,"R$2.026,36",Sim,"R$1.613.366,50","R$1.000.000,00",
504,505,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,38,"AM; 
BA; 
DF; 
GO; 
MG; 
PA; 
PB; 
PI; 
PR; 
RJ; 
SC; 
SE; 
SP","R$29.508,14",1092,"R$130,38",Não,"R$2.479.873,50","R$300.000,00",
505,506,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,5,"TANGARÁ DA SERRA/MT; 
CURITIBA/PR; 
CRICIÚMA/SC; 
SÃO PAULO/SP","R$60.745,96",137,"R$678,67",Não,"R$1.619.376,00","R$200.000,00",
506,507,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,0,,"R$0,00",36,"R$1.481,71",Sim,"R$1.327.185,50","R$600.000,00","A Caixa Econômica Federal comunica que as apurações dos concursos 508 da Loteca e 510 da Lotogol serão realizadas a partir das 10h (horário de Brasília) do dia 02/05 (quarta-feira), em razão do feriado nacional do dia 01/05 e em virtude da alteração promovida pela Federação Pernambucana de Futebol na data de realização do jogo 11 da Loteca (Santa Cruz/PE x Salgueiro/PE) para as 20:30h do dia 30/04 (segunda-feira)."
507,508,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,40,"DF; 
MA; 
MG; 
MS; 
PB; 
PE; 
PR; 
RN; 
RS; 
SC; 
SE; 
SP; 
TO","R$15.961,55",1388,"R$85,91",Não,"R$2.076.859,50","R$320.000,00","A Caixa Econômica Federal comunica que as apurações dos concursos 509 da Loteca e 511 da Lotogol serão realizadas a partir das 10h (horário de Brasília) do dia 08/05 (terça-feira), em virtude da alteração na data de realização dos jogos 07 (Cametá/PA x Remo/PA) e 08 (Moto Clube/MA x Sampaio Corrêa/MA) da Loteca, para as 20:30h do dia 07/05 (segunda-feira). O início da comercialização das apostas dos concursos 510 da Loteca e 512 da Lotogol será a partir das 12h (horário de Brasília) do dia 08/05 (terça-feira)."
508,509,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,0,,"R$0,00",0,"R$0,00",Sim,"R$1.149.836,50","R$1.000.000,00","A Caixa Econômica Federal comunica que as apurações dos concursos 509 da Loteca e 511 da Lotogol serão realizadas a partir das 10h (horário de Brasília) do dia 08/05 (terça-feira), em virtude da alteração na data de realização dos jogos 07 (Cametá/PA x Remo/PA) e 08 (Moto Clube/MA x Sampaio Corrêa/MA) da Loteca, para as 20:30h do dia 07/05 (segunda-feira). O início da comercialização das apostas dos concursos 510 da Loteca e 512 da Lotogol será a partir das 12h (horário de Brasília) do dia 08/05 (terça-feira)."
509,510,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,6,"MACEIÓ/AL; 
CAMPESTRE DO MARANHÃO/MA; 
RIO DE JANEIRO/RJ; 
JUNDIAÍ/SP; 
MOGI DAS CRUZES/SP; 
SÃO MIGUEL DO TOCANTINS/TO","R$176.355,55",218,"R$629,76",Não,"R$2.391.106,00","R$260.000,00",
510,511,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,0,,"R$0,00",2,"R$26.747,94",Sim,"R$1.331.028,50","R$600.000,00","A Caixa Econômica Federal comunica que em função da decisão de adiamento das partidas pela Confederação Brasileira de Futebol, em cumprimento à determinação judicial de suspensão dos Campeonatos Brasileiros Séries C e D, os jogos 05 (Rio Branco/AC x Salgueiro/PE) e 08 (Fortaleza/CE x Águia/PA) do concurso 512 da Loteca e o jogo 05 (Rio Branco/AC x Salgueiro/PE) do concurso 514 da Lotogol terão seus resultados definidos por sorteio no dia 28/05/2012, segunda-feira, às 15h, no auditório da Filial da CAIXA em Brasília/DF, localizado no SBS, Quadra 01, BL L, 2º sub-solo, com participação aberta ao público."
511,512,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,2,"BELÉM/PA; 
RIO DE JANEIRO/RJ","R$305.428,04",26,"R$2.976,99",Não,"R$1.925.832,00","R$200.000,00","A Caixa Econômica Federal comunica que em função da decisão de adiamento das partidas pela Confederação Brasileira de Futebol, em cumprimento à determinação judicial de suspensão dos Campeonatos Brasileiros Séries C e D, os jogos 05 (Rio Branco/AC x Salgueiro/PE) e 08 (Fortaleza/CE x Águia/PA) do concurso 512 da Loteca e o jogo 05 (Rio Branco/AC x Salgueiro/PE) do concurso 514 da Lotogol terão seus resultados definidos por sorteio no dia 28/05/2012, segunda-feira, às 15h, no auditório da Filial da CAIXA em Brasília/DF, localizado no SBS, Quadra 01, BL L, 2º sub-solo, com participação aberta ao público."
512,513,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,0,,"R$0,00",13,"R$4.295,33",Sim,"R$1.389.334,00","R$600.000,00",
513,514,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 1,8,"DIVINOPÓLIS/MG; 
CARIRA/SE; 
ALAMBARI/SP; 
APARECIDA/SP; 
ITATIBA/SP; 
RIBEIRÃO PRETO/SP; 
SÃO PAULO/SP","R$70.608,50",236,"R$394,69",Não,"R$1.622.335,00","R$600.000,00",
514,515,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,11,"FORTALEZA/CE; 
VILA VELHA/ES; 
INHAÚMA/MG; 
MONTES CLAROS/MG; 
SÃO SEBASTIÃO DO OESTE/MG; 
GRAVATÁ/PE; 
MIRACEMA/RJ; 
PETRÓPOLIS/RJ; 
RIO DE JANEIRO/RJ; 
Aracaju/SE; 
SÃO PAULO/SP","R$63.504,54",317,"R$338,47",Não,"R$1.868.775,50","R$250.000,00",
515,516,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,0,,"R$0,00",7,"R$8.814,19",Sim,"R$1.535.138,00","R$600.000,00",
516,517,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 2,3,"CAPELINHA/MG; 
SÃO JOSÉ DO RIO PRETO/SP; 
SÃO PAULO/SP","R$233.546,70",58,"R$1.524,79",Não,"R$2.200.418,00","R$320.000,00",
517,518,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,73,"AL; 
AP; 
BA; 
CE; 
DF; 
GO; 
MA; 
MG; 
MT; 
PA; 
PB; 
PE; 
PR; 
RJ; 
RS; 
SC; 
SP","R$4.129,18",1831,"R$50,39",Não,"R$1.607.115,00","R$300.000,00",
518,519,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,0,,"R$0,00",70,"R$1.284,65",Sim,"R$1.566.207,00","R$1.000.000,00",
519,520,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 2,7,"APUCARANA/PR; 
NITERÓI/RJ; 
RIO DE JANEIRO/RJ; 
PORTO ALEGRE/RS; 
SÃO BERNARDO DO CAMPO/SP; 
SÃO PAULO/SP","R$167.044,15",490,"R$326,59",Não,"R$2.787.194,00","R$300.000,00",
520,521,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,14,"BRASÍLIA/DF; 
CAÇU/GO; 
BELO HORIZONTE/MG; 
POCONÉ/MT; 
PARANAGUÁ/PR; 
NITERÓI/RJ; 
RIO DE JANEIRO/RJ; 
NATAL/RN; 
TIBAU/RN; 
IBIRAIARAS/RS; 
LORENA/SP; 
SANTOS/SP; 
SÃO PAULO/SP","R$23.644,79",364,"R$278,39",Não,"R$1.764.915,00","R$300.000,00","A Caixa Econômica Federal comunica que em função da decisão da Confederação Brasileira de Futebol pelo adiamento do jogo previsto para o dia 04/08/2012 no Estádio João Havelange (Engenhão), o jogo 01 (Flamengo/RJ x Atlético/MG) dos concursos 522 da Loteca e 524 da Lotogol terá seus resultados definidos por sorteios no dia 06/08/2012, segunda-feira, às 15h, no auditório da Filial da CAIXA em Brasília/DF, localizado no SBS, Quadra 01, BL L, 2º sub-solo, com participação aberta ao público."
521,522,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,8,"GOIÂNIA/GO; 
ARAGUARI/MG; 
APUCARANA/PR; 
Curitiba/PR; 
TOBIAS BARRETO/SE; 
ITU/SP; 
SÃO PAULO/SP","R$38.714,55",195,"R$486,21",Não,"R$1.651.294,00","R$320.000,00","A Caixa Econômica Federal comunica que em função da decisão da Confederação Brasileira de Futebol pelo adiamento do jogo previsto para o dia 04/08/2012 no Estádio João Havelange (Engenhão), o jogo 01 (Flamengo/RJ x Atlético/MG) dos concursos 522 da Loteca e 524 da Lotogol terá seus resultados definidos por sorteios no dia 06/08/2012, segunda-feira, às 15h, no auditório da Filial da CAIXA em Brasília/DF, localizado no SBS, Quadra 01, BL L, 2º sub-solo, com participação aberta ao público."
522,523,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,3,"ROSANA/SP; 
SÃO BERNARDO DO CAMPO/SP; 
SÃO CAETANO DO SUL/SP","R$97.944,10",53,"R$1.188,00",Não,"R$1.566.606,00","R$300.000,00",
523,524,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,67,"AL; 
BA; 
CE; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RS; 
SC; 
SE; 
SP; 
TO","R$4.737,25",1367,"R$71,07",Não,"R$1.692.239,50","R$700.000,00",
524,525,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,0,,"R$0,00",2,"R$34.416,02",Sim,"R$1.712.607,00","R$1.000.000,00",
