,Concurso,Jogo 1,Jogo 2,Jogo 3,Jogo 4,Jogo 5,Jogo 6,Jogo 7,Jogo 8,Jogo 9,Jogo 10,Jogo 11,Jogo 12,Jogo 13,Jogo 14,Ganhadores 14 Acertos,Cidade / UF, Rateio 14 Acertos,Ganhadores 13 Acertos,Rateio 13 Acertos,Acumulado 14 Acertos,Arrecadacao Total,Estimativa Prêmio,Observação
31,32,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,3,"AM; 
SP","R$80.218,63",127,"R$539,36",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) próximo concurso: R$300.000,00."
32,33,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,0,,"R$0,00",13,"R$4.982,49",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$500.000,00."
33,34,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,0,,"R$0,00",51,"R$1.407,09",Sim,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$760.000,00. Apuração prevista para 07/10/2002 (segunda-feira) às 12 horas."
34,35,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,33,"AL; 
BA; 
DF; 
GO; 
MG; 
MT; 
PA; 
PE; 
PR; 
RJ; 
RS; 
SP","R$23.885,06",1243,"R$71,06",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para 0 próximo concurso: R$300.000,00."
35,36,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,0,,"R$0,00",12,"R$4.249,92",Sim,"R$0,00","R$0,00","ACUMULOU!!!! Estimativa de prêmio (14 PONTOS) para o próximo concurso: R$450.000,00."
36,37,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,15,"MG; 
PA; 
PB; 
PR; 
RJ; 
SP","R$30.858,11",524,"R$154,48",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$170.000,00."
37,38,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,22,"BA; 
MG; 
PA; 
PB; 
PR; 
RJ; 
SC; 
SE; 
SP","R$7.574,34",399,"R$118,88",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$190.000,00."
38,39,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,1,SP,"R$168.804,64",106,"R$453,28",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$230.000,00. Apuração prevista para 11/11/2002 (segunda-feira) às 12 horas."
39,40,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,0,,"R$0,00",5,"R$11.600,04",Sim,"R$0,00","R$0,00","ACUMULOU!!!  Estimativa de prêmio (14 ACERTOS) próximo concurso: R$450.000,00."
40,41,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,0,,"R$0,00",6,"R$10.662,82",Sim,"R$0,00","R$0,00","1ª FAIXA ACUMULOU!!! ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 700.000,00."
